location_key,commune_code,commune_name,commune_name_en,latitude,longitude,climate_zone
1,00004,Phường Ba Đình,Ba Dinh,21.0395325,105.836423,Nhiệt đới gió mùa có mùa đông lạnh
2,00008,Phường Ngọc Hà,Ngoc Ha,21.0394508,105.8171166,Nhiệt đới gió mùa có mùa đông lạnh
3,00025,Phường Giảng Võ,Giang Vo,21.0275077,105.8211546,Nhiệt đới gió mùa có mùa đông lạnh
4,00070,Phường Hoàn Kiếm,Hoan Kiem,21.0323032,105.8506925,Nhiệt đới gió mùa có mùa đông lạnh
5,00082,Phường Cửa Nam,Cua Nam,21.0231627,105.8508042,Nhiệt đới gió mùa có mùa đông lạnh
6,00091,Phường Phú Thượng,Phu Thuong,21.0846271,105.8073225,Nhiệt đới gió mùa có mùa đông lạnh
7,00097,Phường Hồng Hà,Hong Ha,21.0482815,105.8524226,Nhiệt đới gió mùa có mùa đông lạnh
8,00103,Phường Tây Hồ,Tay Ho,21.0627805,105.8184637,Nhiệt đới gió mùa có mùa đông lạnh
9,00118,Phường Bồ Đề,Bo De,21.0501718,105.87585,Nhiệt đới gió mùa có mùa đông lạnh
10,00127,Phường Việt Hưng,Viet Hung,21.0637193,105.9057639,Nhiệt đới gió mùa có mùa đông lạnh
11,00136,Phường Phúc Lợi,Phuc Loi,21.0412063,105.918002,Nhiệt đới gió mùa có mùa đông lạnh
12,00145,Phường Long Biên,Long Bien,21.0226431,105.8987912,Nhiệt đới gió mùa có mùa đông lạnh
13,00160,Phường Nghĩa Đô,Nghia Do,21.0437643,105.7937364,Nhiệt đới gió mùa có mùa đông lạnh
14,00166,Phường Cầu Giấy,Cau Giay,21.029673,105.7901417,Nhiệt đới gió mùa có mùa đông lạnh
15,00175,Phường Yên Hòa,Yen Hoa,21.0138801,105.7957239,Nhiệt đới gió mùa có mùa đông lạnh
16,00190,Phường Ô Chợ Dừa,O Cho Dua,21.021334,105.8243089,Nhiệt đới gió mùa có mùa đông lạnh
17,00199,Phường Láng,Lang,21.0203937,105.8048673,Nhiệt đới gió mùa có mùa đông lạnh
18,00226,Phường Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam,21.0191312,105.8361676,Nhiệt đới gió mùa có mùa đông lạnh
19,00229,Phường Kim Liên,Kim Lien,21.0062884,105.8321391,Nhiệt đới gió mùa có mùa đông lạnh
20,00235,Phường Đống Đa,Dong Da,21.010997,105.8182669,Nhiệt đới gió mùa có mùa đông lạnh
21,00256,Phường Hai Bà Trưng,Hai Ba Trung,21.014877,105.8521471,Nhiệt đới gió mùa có mùa đông lạnh
22,00283,Phường Vĩnh Tuy,Vinh Tuy,20.997391,105.8679235,Nhiệt đới gió mùa có mùa đông lạnh
23,00292,Phường Bạch Mai,Bach Mai,21.0024564,105.851447,Nhiệt đới gió mùa có mùa đông lạnh
24,00301,Phường Vĩnh Hưng,Vinh Hung,20.9911891,105.8828976,Nhiệt đới gió mùa có mùa đông lạnh
25,00316,Phường Định Công,Dinh Cong,20.9834576,105.8285614,Nhiệt đới gió mùa có mùa đông lạnh
26,00322,Phường Tương Mai,Tuong Mai,20.9899896,105.8530145,Nhiệt đới gió mùa có mùa đông lạnh
