observation_id,location_name_raw,query_sent,latitude,longitude,ward_code,ward_name,geocode_source,geocode_match_type,geocode_verified,review_note
VNE_20251007_001,Nhánh 2 đường gom cao tốc Hà Nội - Hải Phòng,"Nhánh 2 đường gom cao tốc Hà Nội - Hải Phòng, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_002,ĐLTL đoạn Km 8+200,"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_003,ĐLTL đoạn hầm chui số 9,"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_004,ĐLTL đoạn hầm chui số 5,"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_005,ĐLTL đoạn hầm chui số 6,"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_006,ĐLTL đoạn km 9+400 đường gom phải,"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_007,Đường QL32: Km14+500,"Đường Quốc lộ 32, Hà Nội, Việt Nam",21.086423,105.634422,09772,Xã Hát Môn,nominatim,road_prefix,false,
VNE_20251007_008,Đường QL32: Km17+700,"Đường Quốc lộ 32, Hà Nội, Việt Nam",21.086423,105.634422,09772,Xã Hát Môn,nominatim,road_prefix,false,
VNE_20251007_009,Đường 423:Cầu Trũng Vỡ: Km3+164,"Đường 423, Hà Nội, Việt Nam",21.122743,105.922191,,,nominatim,outside_hanoi,false,
VNE_20251007_010,Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Hà Nội, Việt Nam",21.010799,105.845801,00256,Phường Hai Bà Trưng,nominatim,full_name,false,
VNE_20251007_011,Đường Phạm Hùng (đoạn giáp cầu vượt Mai Dịch),"Đường Phạm Hùng, Hà Nội, Việt Nam",21.010117,105.788088,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_012,Phố Trần Bình (đoạn Bệnh Viện 19-8),"Phố Trần Bình, Hà Nội, Việt Nam",21.030110,105.775729,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_013,Đại lộ Thăng Long (đoạn Km5+700 hai bên đường gom),"Đại lộ Thăng Long, Hà Nội, Việt Nam",21.010280,105.738415,00622,Phường Xuân Phương,nominatim,road_prefix,false,
