location_key,province_code,province_name,commune_code,commune_name,latitude,longitude,region,climate_zone
1,01,Thành phố Hà Nội,00004,Phường Ba Đình,21.0395325,105.8364230,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
2,01,Thành phố Hà Nội,00008,Phường Ngọc Hà,21.0394508,105.8171166,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
3,01,Thành phố Hà Nội,00025,Phường Giảng Võ,21.0275077,105.8211546,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
4,01,Thành phố Hà Nội,00070,Phường Hoàn Kiếm,21.0323032,105.8506925,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
5,01,Thành phố Hà Nội,00082,Phường Cửa Nam,21.0231627,105.8508042,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
6,01,Thành phố Hà Nội,00091,Phường Phú Thượng,21.0846271,105.8073225,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
7,01,Thành phố Hà Nội,00097,Phường Hồng Hà,21.0482815,105.8524226,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
8,01,Thành phố Hà Nội,00103,Phường Tây Hồ,21.0627805,105.8184637,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
9,01,Thành phố Hà Nội,00118,Phường Bồ Đề,21.0501718,105.8758500,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
10,01,Thành phố Hà Nội,00127,Phường Việt Hưng,21.0637193,105.9057639,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
11,01,Thành phố Hà Nội,00136,Phường Phúc Lợi,21.0412063,105.9180020,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
12,01,Thành phố Hà Nội,00145,Phường Long Biên,21.0226431,105.8987912,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
13,01,Thành phố Hà Nội,00160,Phường Nghĩa Đô,21.0437643,105.7937364,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
14,01,Thành phố Hà Nội,00166,Phường Cầu Giấy,21.0296730,105.7901417,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
15,01,Thành phố Hà Nội,00175,Phường Yên Hòa,21.0138801,105.7957239,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
16,01,Thành phố Hà Nội,00190,Phường Ô Chợ Dừa,21.0213340,105.8243089,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
17,01,Thành phố Hà Nội,00199,Phường Láng,21.0203937,105.8048673,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
18,01,Thành phố Hà Nội,00226,Phường Văn Miếu - Quốc Tử Giám,21.0191312,105.8361676,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
19,01,Thành phố Hà Nội,00229,Phường Kim Liên,21.0062884,105.8321391,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
20,01,Thành phố Hà Nội,00235,Phường Đống Đa,21.0109970,105.8182669,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
21,01,Thành phố Hà Nội,00256,Phường Hai Bà Trưng,21.0148770,105.8521471,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
22,01,Thành phố Hà Nội,00283,Phường Vĩnh Tuy,20.9973910,105.8679235,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
23,01,Thành phố Hà Nội,00292,Phường Bạch Mai,21.0024564,105.8514470,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
24,01,Thành phố Hà Nội,00301,Phường Vĩnh Hưng,20.9911891,105.8828976,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
25,01,Thành phố Hà Nội,00316,Phường Định Công,20.9834576,105.8285614,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
26,01,Thành phố Hà Nội,00322,Phường Tương Mai,20.9899896,105.8530145,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
27,01,Thành phố Hà Nội,00328,Phường Lĩnh Nam,20.9755570,105.8986487,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
28,01,Thành phố Hà Nội,00331,Phường Hoàng Mai,20.9740598,105.8619324,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
29,01,Thành phố Hà Nội,00337,Phường Hoàng Liệt,20.9619101,105.8365400,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
30,01,Thành phố Hà Nội,00340,Phường Yên Sở,20.9638518,105.8658241,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
31,01,Thành phố Hà Nội,00352,Phường Phương Liệt,20.9934972,105.8315495,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
32,01,Thành phố Hà Nội,00364,Phường Khương Đình,20.9908045,105.8134369,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
33,01,Thành phố Hà Nội,00367,Phường Thanh Xuân,20.9984954,105.8044453,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
52,01,Thành phố Hà Nội,00376,Xã Sóc Sơn,21.2453317,105.8497650,Bắc Bộ,Nhiệt đới gió mùa có mùa đông lạnh
