model,ward_code,ward_latitude,ward_longitude,grid_latitude,grid_longitude,elevation_m
ecmwf_ifs,00004,21.039532,105.836423,21.054480,105.807106,17
ecmwf_ifs,00008,21.039451,105.817117,21.054480,105.807106,15
ecmwf_ifs,00025,21.027508,105.821155,21.054480,105.807106,8
ecmwf_ifs,00070,21.032303,105.850692,21.054480,105.807106,22
ecmwf_ifs,00082,21.023163,105.850804,20.984182,105.882355,17
ecmwf_ifs,00091,21.084627,105.807322,21.054480,105.807106,9
ecmwf_ifs,00097,21.048282,105.852423,21.054480,105.807106,12
ecmwf_ifs,00103,21.062780,105.818464,21.054480,105.807106,8
ecmwf_ifs,00118,21.050172,105.875850,21.054480,105.898476,8
ecmwf_ifs,00127,21.063719,105.905764,21.054480,105.898476,9
ecmwf_ifs,00136,21.041206,105.918002,21.054480,105.898476,9
ecmwf_ifs,00145,21.022643,105.898791,21.054480,105.898476,12
ecmwf_ifs,00160,21.043764,105.793736,21.054480,105.807106,18
ecmwf_ifs,00166,21.029673,105.790142,21.054480,105.807106,9
ecmwf_ifs,00175,21.013880,105.795724,20.984182,105.791080,16
ecmwf_ifs,00190,21.021334,105.824309,21.054480,105.807106,15
ecmwf_ifs,00199,21.020394,105.804867,21.054480,105.807106,16
ecmwf_ifs,00226,21.019131,105.836168,21.054480,105.807106,18
ecmwf_ifs,00229,21.006288,105.832139,20.984182,105.791080,13
ecmwf_ifs,00235,21.010997,105.818267,20.984182,105.791080,15
ecmwf_ifs,00256,21.014877,105.852147,20.984182,105.882355,17
ecmwf_ifs,00283,20.997391,105.867924,20.984182,105.882355,9
ecmwf_ifs,00292,21.002456,105.851447,20.984182,105.882355,15
ecmwf_ifs,00301,20.991189,105.882898,20.984182,105.882355,8
ecmwf_ifs,00316,20.983458,105.828561,20.984182,105.791080,9
ecmwf_ifs,00322,20.989990,105.853015,20.984182,105.882355,12
ecmwf_ifs,00328,20.975557,105.898649,20.984182,105.882355,10
ecmwf_ifs,00331,20.974060,105.861932,20.984182,105.882355,4
ecmwf_ifs,00337,20.961910,105.836540,20.984182,105.791080,4
ecmwf_ifs,00340,20.963852,105.865824,20.984182,105.882355,10
ecmwf_ifs,00352,20.993497,105.831549,20.984182,105.791080,17
ecmwf_ifs,00364,20.990804,105.813437,20.984182,105.791080,9
ecmwf_ifs,00367,20.998495,105.804445,20.984182,105.791080,11
ecmwf_ifs,00376,21.245332,105.849765,21.265377,105.855400,18
ecmwf_ifs,00382,21.295473,105.773794,21.265377,105.763750,41
ecmwf_ifs,00385,21.331467,105.832451,21.335676,105.871560,21
ecmwf_ifs,00430,21.247238,105.912976,21.265377,105.947050,5
ecmwf_ifs,00433,21.235930,105.773437,21.265377,105.763750,10
ecmwf_ifs,00454,21.110481,105.875769,21.124779,105.914635,11
ecmwf_ifs,00466,21.158727,105.808726,21.124779,105.823170,10
ecmwf_ifs,00475,21.162543,105.884408,21.124779,105.914635,6
ecmwf_ifs,00493,21.125866,105.760677,21.124779,105.731710,10
ecmwf_ifs,00508,21.103496,105.817545,21.124779,105.823170,10
ecmwf_ifs,00541,21.079074,105.932450,21.054480,105.898476,9
ecmwf_ifs,00562,21.032846,105.982128,21.054480,105.989850,10
ecmwf_ifs,00565,21.002391,105.951567,20.984182,105.973630,5
ecmwf_ifs,00577,20.968553,105.907527,20.984182,105.882355,12
ecmwf_ifs,00592,21.021640,105.767129,20.984182,105.791080,8
ecmwf_ifs,00598,21.087022,105.748858,21.124779,105.731710,11
ecmwf_ifs,00602,21.089695,105.785327,21.054480,105.807106,16
ecmwf_ifs,00611,21.066842,105.796023,21.054480,105.807106,10
ecmwf_ifs,00613,21.067485,105.731606,21.054480,105.715740,8
ecmwf_ifs,00619,21.048267,105.763562,21.054480,105.807106,9
ecmwf_ifs,00622,21.031237,105.747910,21.054480,105.715740,7
ecmwf_ifs,00634,21.000260,105.748231,20.984182,105.791080,11
ecmwf_ifs,00637,20.993117,105.776826,20.984182,105.791080,12
ecmwf_ifs,00640,20.939549,105.861338,20.913883,105.866264,7
ecmwf_ifs,00643,20.970486,105.802369,20.984182,105.791080,6
ecmwf_ifs,00664,20.934334,105.819005,20.913883,105.775080,5
ecmwf_ifs,00679,20.912843,105.833787,20.913883,105.866264,5
ecmwf_ifs,00685,20.919133,105.886459,20.913883,105.866264,9
ecmwf_ifs,04930,20.973947,105.478855,20.984182,105.517240,83
ecmwf_ifs,08974,21.198879,105.752870,21.195078,105.747710,12
ecmwf_ifs,08980,21.170907,105.664101,21.195078,105.656150,10
ecmwf_ifs,08995,21.207784,105.685239,21.195078,105.656150,9
ecmwf_ifs,09022,21.147227,105.734621,21.124779,105.731710,16
ecmwf_ifs,09552,20.950950,105.785303,20.984182,105.791080,6
ecmwf_ifs,09556,20.974437,105.778846,20.984182,105.791080,14
ecmwf_ifs,09562,20.949915,105.737253,20.984182,105.699800,10
ecmwf_ifs,09568,20.938447,105.771852,20.913883,105.775080,7
ecmwf_ifs,09574,21.142700,105.486925,21.124779,105.457320,12
ecmwf_ifs,09604,21.122460,105.458683,21.124779,105.457320,12
ecmwf_ifs,09616,21.063964,105.494908,21.054480,105.533000,20
ecmwf_ifs,09619,21.178163,105.430461,21.195078,105.473040,12
ecmwf_ifs,09634,21.284385,105.373952,21.265377,105.397150,15
ecmwf_ifs,09661,21.002164,105.749066,20.984182,105.791080,12
ecmwf_ifs,09664,21.211428,105.379510,21.195078,105.381485,13
ecmwf_ifs,09676,21.161370,105.331368,21.124779,105.365860,34
ecmwf_ifs,09694,21.124313,105.376273,21.124779,105.365860,42
ecmwf_ifs,09700,21.072868,105.353468,21.054480,105.350260,684
ecmwf_ifs,09706,21.043932,105.431714,21.054480,105.441630,35
ecmwf_ifs,09715,21.107502,105.546061,21.124779,105.548780,11
ecmwf_ifs,09739,21.149342,105.572027,21.124779,105.548780,14
ecmwf_ifs,09772,21.088857,105.620029,21.054480,105.624370,11
ecmwf_ifs,09784,21.094465,105.668551,21.124779,105.640240,10
ecmwf_ifs,09787,21.130349,105.651050,21.124779,105.640240,12
ecmwf_ifs,09817,21.105708,105.710205,21.124779,105.731710,9
ecmwf_ifs,09832,21.063049,105.706112,21.054480,105.715740,11
ecmwf_ifs,09856,21.048932,105.671197,21.054480,105.715740,10
ecmwf_ifs,09871,21.026965,105.708583,21.054480,105.715740,7
ecmwf_ifs,09877,20.983329,105.708391,20.984182,105.699800,10
ecmwf_ifs,09886,20.979539,105.750304,20.984182,105.791080,10
ecmwf_ifs,09895,21.008247,105.647237,20.984182,105.608520,8
ecmwf_ifs,09910,20.973303,105.602160,20.984182,105.608520,7
ecmwf_ifs,09931,20.969728,105.657817,20.984182,105.699800,8
ecmwf_ifs,09952,20.949224,105.556508,20.913883,105.592710,22
ecmwf_ifs,09955,21.066639,105.561778,21.054480,105.533000,7
ecmwf_ifs,09982,21.016112,105.571147,20.984182,105.608520,7
ecmwf_ifs,09988,21.013518,105.506760,20.984182,105.517240,28
ecmwf_ifs,10003,21.040367,105.611553,21.054480,105.624370,8
ecmwf_ifs,10015,20.926076,105.702572,20.913883,105.683890,32
ecmwf_ifs,10030,20.918262,105.639410,20.913883,105.683890,13
ecmwf_ifs,10045,20.861247,105.602474,20.843584,105.576920,43
ecmwf_ifs,10072,20.871213,105.699299,20.843584,105.668015,7
ecmwf_ifs,10081,20.837000,105.662741,20.843584,105.668015,10
ecmwf_ifs,10096,20.832216,105.725084,20.843584,105.759110,6
ecmwf_ifs,10114,20.844084,105.767749,20.843584,105.759110,7
ecmwf_ifs,10126,20.903900,105.757520,20.913883,105.775080,6
ecmwf_ifs,10144,20.878621,105.793431,20.913883,105.775080,5
ecmwf_ifs,10180,20.810523,105.794513,20.843584,105.759110,4
ecmwf_ifs,10183,21.002164,105.749066,20.984182,105.791080,12
ecmwf_ifs,10210,20.879735,105.898173,20.913883,105.866264,7
ecmwf_ifs,10231,20.829099,105.848112,20.843584,105.850200,5
ecmwf_ifs,10237,20.835391,105.898268,20.843584,105.941290,6
